Name,ID,NOMBRE,CONDICION,DELEGACION,ESTADO,Y,X,MSNM,USO,CONSU_M3_A,EXTRAC_M3,DESCAR_M3,Q_L_S,QMAX,AFORO,MM,Estado_2,SCADA,ADITUM,ID_2
AMP. TLAHUAC NEZA # 20,535,RAMAL TLAHUAC NEZA No. 20,REPOSICI?ôN,IZTAPALAPA,FUERA DE OPERACI?ôN,19.289,-99.074139,2240,P?ÜBLICO URBANO,176601.6,883008,706406.4,28,28,33,,0,0,0,9007000010070407A
AUXILIAR XOTEPINGO No. 1,570,AUXILIAR XOTEPINGO No. 1-A,RELOCALIZACI?ôN,IZTAPALAPA,FUERA DE OPERACI?ôN,19.330667,-98.974861,2338,P?ÜBLICO URBANO,18921.6,94608,75686.4,3,3,,ST,0,0,0,9007000010070416A
AUXILIAR XOTEPINGO No. 6-B,571,AUXILIAR XOTEPINGO No. 6-B,RELOCALIZACI?ôN,IZTAPALAPA,FUERA DE OPERACI?ôN,19.322333,-99.129056,2271,P?ÜBLICO URBANO,75686.4,378432,302745.6,12,12,23,,0,0,0,9007000010070419A
SAN JUANICO IZTAPALAPA,545,SAN JUANICO,REPOSICI?ôN,IZTAPALAPA,FUERA DE OPERACI?ôN,19.373389,-99.117361,2234,P?ÜBLICO URBANO,126144,630720,504576,20,20,,ST,0,0,0,9007000010070458A
SAN SEBASTIAN TECOLOXTITLA,576,SAN SEBASTIAN TECOLOXTITLA,REPOSICI?ôN,IZTAPALAPA,FUERA DE OPERACI?ôN,19.3655,-99.018722,2241,P?ÜBLICO URBANO,18921.6,94608,75686.4,3,3,,,0,0,0,9007000010070460A
SANTA CRUZ MEYEHUALCO No. 1,577,SANTA CRUZ MEYEHUALCO No. 1,REPOSICI?ôN,IZTAPALAPA,FUERA DE OPERACI?ôN,19.334194,-99.029278,2233,P?ÜBLICO URBANO,18921.6,94608,75686.4,3,3,,,0,0,0,9007000010070468A
AGRICOLA ORIENTAL # 1,482,AGR?ìCOLA ORIENTAL No. 1,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.307806,-99.084639,2257,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,,ST,1,0,0,9007000010070401A
AGRICOLA ORIENTAL # 4,484,AGR?ìCOLA ORIENTAL No. 4,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.35875,-99.111667,2256,P?ÜBLICO URBANO,100915.2,504576,403660.8,16,16,11,ST,1,0,0,9007000010070402A
AGRICOLA ORIENTAL # 5,485,AGR?ìCOLA ORIENTAL No. 5,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.38175,-99.081306,,P?ÜBLICO URBANO,100915.2,504576,403660.8,16,16,21,ST,1,0,0,9007000010070403A
AGR?¡COLA ORIENTAL # 7,487,AGR?ìCOLA ORIENTAL No. 7,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.384722,-99.071611,2233,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,32,ST,1,0,0,9007000010070405A
AMP. TLAHUAC NEZA # 20 BIS,536,RAMAL TLAHUAC NEZA No. 20 BIS,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.286667,-99.071139,2250,P?ÜBLICO URBANO,161464.32,807321.6,645857.28,25.6,25.6,34,CT,1,1,0,9007000010070408A
AMP. TLAHUAC NEZA # 22,537,RAMAL TLAHUAC NEZA No. 22,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.297056,-99.081194,2247,P?ÜBLICO URBANO,161464.32,807321.6,645857.28,25.6,25.6,43,CT,1,1,1,9007000010070410A
AMP. TLAHUAC NEZA # 23,538,RAMAL TLAHUAC NEZA No. 23,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.300444,-99.083917,2242,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,57.6,CT,1,1,1,9007000010070411A
AMP. TLAHUAC NEZA # 24,539,RAMAL TLAHUAC NEZA No. 24,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.303,-99.086028,2245,P?ÜBLICO URBANO,18921.6,94608,75686.4,3,3,,CT,1,0,1,9007000010070412A
AMP. TLAHUAC NEZA # 25,540,RAMAL TLAHUAC NEZA No. 25,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.306167,-99.088611,2247,P?ÜBLICO URBANO,100915.2,504576,403660.8,16,16,23,,1,0,0,9007000010070413A
AMP. TLAHUAC NEZA # 26,541,RAMAL TLAHUAC NEZA No. 26,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.308889,-99.090861,2259,P?ÜBLICO URBANO,242196.48,1210982.4,968785.92,38.4,38.4,27,CT,1,1,1,9007000010070414A
AMP. TLAHUAC NEZA # 27,542,RAMAL TLAHUAC NEZA No. 27,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.311917,-99.093389,2237,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,18,CT,1,1,1,9007000010070415A
AUXILIAR XOTEPINGO # 4-C,491,AUXILIAR XOTEPINGO No. 4-C,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.377417,-99.020333,2233,P?ÜBLICO URBANO,315360,1576800,1261440,50,50,65,ST,1,0,0,9007000010070417A
AUXILIAR XOTEPINGO # 6-A,488,AUXILIAR XOTEPINGO No. 6-A,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.312583,-99.080583,2545,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,,CT,1,1,1,9007000010070418A
AUXILIAR XOTEPINGO # 7-C,493,AUXILIAR XOTEPINGO No. 7-C,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.33775,-99.113472,2230,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,45,CT,1,1,1,9007000010070420A
AUXILIAR XOTEPINGO # 8-C,494,AUXILIAR XOTEPINGO No. 8-C,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.321389,-99.073333,2227,P?ÜBLICO URBANO,302745.6,1513728,1210982.4,48,48,66,CT,1,1,1,9007000010070421A
AUXILIAR XOTEPINGO # 9-C,495,AUXILIAR XOTEPINGO No. 9-C,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.331972,-99.064944,2249,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,54,CT,1,1,1,9007000010070422A
AUXILIAR XOTEPINGO # 10-A,490,AUXILIAR XOTEPINGO No. 10-A,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.365556,-99.133694,2117,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,40,CT,1,1,1,9007000010070423A
CARLOS L. GRACIDAS,498,CARLOS L. GRACIDAS,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.361722,-99.048694,2406,P?ÜBLICO URBANO,151372.8,756864,605491.2,24,24,28,ST,1,0,0,9007000010070424A
CERRO DE LA ESTRELLA # 1,499,CERRO DE LA ESTRELLA No. 1,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.333667,-99.10675,2257,P?ÜBLICO URBANO,151372.8,756864,605491.2,24,2,24,CT,1,1,1,9007000010070425A
CERRO DE LA ESTRELLA # 2,500,CERRO DE LA ESTRELLA No. 2,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.330222,-99.082056,2253,P?ÜBLICO URBANO,100915.2,504576,403660.8,24,24,36,ST,1,0,0,9007000010070426A
EL SIF?ôN,505,EL SIF?ôN,RELOCALIZACI?ôN,IZTAPALAPA,---------------------,19.354389,-99.014694,2252,P?ÜBLICO URBANO,18921.6,94608,75686.4,3,3,24,,1,0,1,9007000010070427A
FRACCIONAMIENTO BANJIDAL,506,FRACCIONAMIENTO BANJIDAL,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.3615,-99.13675,2262,P?ÜBLICO URBANO,161464.32,807321.6,645857.28,25.6,25.6,41,CT,1,1,1,9007000010070428A
GRANJAS ESTRELLA # 1,508,GRANJAS ESTRELLA No. 1,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.326583,-99.094389,2258,P?ÜBLICO URBANO,50457.6,252288,201830.4,24,24,27,ST,1,0,0,9007000010070429A
GRANJAS ESTRELLA # 2,509,GRANJAS ESTRELLA No. 2,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.326361,-99.091972,2257,P?ÜBLICO URBANO,100915.2,504576,403660.8,24,24,23.4,CT,1,1,1,9007000010070430A
GRANJAS ESTRELLA # 3,510,GRANJAS ESTRELLA No. 3,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.322194,-99.097028,2240,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,45,CT,1,1,1,9007000010070431A
GRANJAS SAN ANTONIO,511,GRANJAS SAN ANTONIO,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.366167,-99.10425,2239,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,,CT,1,1,1,9007000010070432A
IZTAPALAPA # 1,513,IZTAPALAPA No. 1,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.360528,-99.092722,2253,P?ÜBLICO URBANO,227059.2,1135296,908236.8,36,36,,ST,1,0,0,9007000010070433A
IZTAPALAPA # 2,514,IZTAPALAPA No. 2,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.356083,-99.100611,2260,P?ÜBLICO URBANO,151372.8,756864,605491.2,24,24,35,ST,1,0,0,9007000010070434A
IZTAPALAPA # 4,515,IZTAPALAPA No. 4,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.362972,-99.065667,2234,P?ÜBLICO URBANO,151372.8,756864,605491.2,24,24,28,CT,1,0,1,9007000010070435A
IZTAPALAPA # 6,516,IZTAPALAPA No. 6,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.291444,-99.076528,2244,P?ÜBLICO URBANO,151372.8,756864,605491.2,24,24,,,1,0,0,9007000010070436A
IZTAPALAPA # 8,517,IZTAPALAPA No. 8,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.346389,-99.038111,2233,P?ÜBLICO URBANO,151372.8,756864,605491.2,24,24,25,,1,0,0,9007000010070437A
LOS REYES IZTAPALAPA,518,LOS REYES IZTAPALAPA,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.343889,-99.106778,2252,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,37,CT,1,1,1,9007000010070438A
PANTE?ôN CIVIL # 1,519,PANTE?ôN CIVIL No. 1,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.338083,-99.079694,2240,P?ÜBLICO URBANO,151372.8,756864,605491.2,24,24,29,ST,1,0,0,9007000010070439A
PANTE?ôN CIVIL # 2,520,PANTE?ôN CIVIL No. 2,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.338872,-99.074611,2256,P?ÜBLICO URBANO,315360,1576800,1261440,50,50,,ST,1,0,0,9007000010070440A
PANTE?ôN CIVIL # 3,521,PANTE?ôN CIVIL No. 3,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.341306,-99.085,2243,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,,CT,1,1,1,9007000010070441A
PE?æ?ôN # 1,522,PE?æ?ôN No. 1,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.384056,-99.031222,2241,P?ÜBLICO URBANO,151372.8,756864,605491.2,24,24,30,CT,1,1,1,9007000010070442A
PE?æ?ôN # 2 (NUEVO),523,PE?æ?ôN No. 2,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.364583,-99.034028,2241,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,,CT,1,1,1,9007000010070443A
PE?æ?ôN # 3 (NUEVO),524,PE?æ?ôN No. 3,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.380167,-99.023,2242,P?ÜBLICO URBANO,124416,622080,497664,40,40,47,CT,1,1,1,9007000010070444A
PE?æ?ôN # 4,525,PE?æ?ôN No. 4,RELOCALIZACI?ôN,IZTAPALAPA,---------------------,19.372056,-99.045611,2240,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,,CT,1,1,1,9007000010070445A
PE?æ?ôN # 5 (NUEVO),526,PE?æ?ôN No. 5,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.375444,-99.023472,2249,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,43,CT,1,0,1,9007000010070446A
PE?æ?ôN  # 6 (NUEVO),527,PE?æ?ôN No. 6,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.372389,-99.027167,2252,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,61,CT,1,0,1,9007000010070447A
PE?æ?ôN # 7 (NUEVO),528,PE?æ?ôN No. 7,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.370083,-99.031139,2250,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,59,,1,0,1,9007000010070448A
PE?æ?ôN # 8,529,PE?æ?ôN No. 8,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.373028,-99.035167,2241,P?ÜBLICO URBANO,25712.64,128563.2,102850.56,24.8,24.8,,ST,1,0,0,9007000010070449A
PE?æ?ôN # 9,530,PE?æ?ôN No. 9,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.375139,-99.034528,2252,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,39,ST,1,0,0,9007000010070450A
PUR?ìSIMA DEMOCR?üTICA,572,PUR?ìSIMA DEMOCR?üTICA,RELOCALIZACI?ôN,IZTAPALAPA,---------------------,19.351167,-99.011,2266,P?ÜBLICO URBANO,268272,1341360,1073088,45,45,35,,1,0,0,9007000010070451A
PUR?ìSIMA IZTAPALAPA # 1,573,PUR?ìSIMA IZTAPALAPA No. 1,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.346694,-98.986583,2305,P?ÜBLICO URBANO,123863.04,619315.2,495452.16,20.48,20.48,40,,1,0,0,9007000010070452A
PURISIMA IZTAPALAPA # 2,532,PURISIMA IZTAPALAPA No. 2,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.355,-99.074667,2243,P?ÜBLICO URBANO,126144,630720,504576,20,20,16,CT,1,1,1,9007000010070453A
PURISIMA IZTAPALAPA # 3,533,PURISIMA IZTAPALAPA No. 3,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.357667,-99.072278,2247,P?ÜBLICO URBANO,302745.6,1513728,1210982.4,48,48,68,ST,1,0,0,9007000010070454A
PUR?ìSIMA IZTAPALAPA # 4,574,PUR?ìSIMA IZTAPALAPA No. 4,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.345778,-99.017861,2254,P?ÜBLICO URBANO,134956.8,674784,539827.2,22,22,,,1,0,0,9007000010070455A
PUR?ìSIMA IZTAPALAPA # 5,575,PUR?ìSIMA IZTAPALAPA No. 5,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.341556,-99.008889,2315,P?ÜBLICO URBANO,135475.2,677376,541900.8,22.4,22.4,35,ST,1,0,0,9007000010070456A
PURISIMA IZTAPALAPA # 7,534,PURISIMA IZTAPALAPA No. 7,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.361222,-99.071083,2236,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,40,CT,1,1,1,9007000010070457A
SANTA CATARINA # 2,548,SANTA CATARINA No. 2,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.294278,-99.078833,2261,P?ÜBLICO URBANO,161464.32,807321.6,645857.28,25.6,25.6,17.7,ST,1,0,0,9007000010070461A
SANTA CATARINA # 8,549,SANTA CATARINA No. 8,REPOSICI?ôN,IZTAPALAPA,---------------------,19.305889,-99.062111,2253,P?ÜBLICO URBANO,126144,630720,504576,20,20,22,CT,1,0,1,9007000010070462A
SANTA CATARINA # 9,550,SANTA CATARINA No. 9,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.309917,-99.060972,2261,P?ÜBLICO URBANO,170294.4,851472,681177.6,27,27,33,CT,1,0,1,9007000010070463A
SANTA CATARINA # 10,551,SANTA CATARINA No. 10,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.313694,-99.066028,2271,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,33,ST,1,0,0,9007000010070464A
SANTA CATARINA # 11,552,SANTA CATARINA No. 11,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.310389,-99.07275,2256,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,,CT,1,1,1,9007000010070465A
SANTA CATARINA # 12,553,SANTA CATARINA No. 12,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.324556,-99.063639,2240,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,,CT,1,0,1,9007000010070466A
SANTA CATARINA # 13,554,SANTA CATARINA No. 13,REPOSICI?ôN,IZTAPALAPA,---------------------,19.320111,-99.065722,2254,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,,,1,0,1,9007000010070467A
SANTA CRUZ MEYEHUALCO # 2,578,SANTA CRUZ MEYEHUALCO No. 2,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.339194,-99.029444,2234,P?ÜBLICO URBANO,121651.2,608256,486604.8,22,22,44,ST,1,0,0,9007000010070469A
SANTA MARIA AZTAHUACAN,579,SANTA MARIA AZTAHUACAN,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.3505,-99.023611,2245,P?ÜBLICO URBANO,61046.784,305233.92,244187.136,10.24,10.24,24,,1,0,0,9007000010070470A
SECTOR POPULAR # 1,556,SECTOR POPULAR No. 1,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.368889,-99.116056,,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,,,1,0,0,9007000010070472A
SECTOR POPULAR # 2,557,SECTOR POPULAR No. 2,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.363556,-99.118667,2241,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,36,ST,1,0,0,9007000010070473A
SECTOR POPULAR # 3,558,SECTOR POPULAR No. 3,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.335361,-99.068722,2239,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,47,CT,1,1,1,9007000010070474A
TECOMITL # 2,560,TECOMITL No. 2,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.375278,-99.059889,2298,P?ÜBLICO URBANO,18921.6,94608,75686.4,3,3,23,,1,0,1,9007000010070475A
TULYEHUALCO SUR # 35,759,TULYEHUALCO No. 35,ORIGINAL,IZTAPALAPA,EN OPERACI?ôN,19.316139,-99.096639,2251,P?ÜBLICO URBANO,170553.6,852768,682214.4,30,30,38,CT,1,1,1,9007000010070476A
UNIDAD MODELO # 1,562,UNIDAD MODELO No. 1,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.367806,-99.124111,,P?ÜBLICO URBANO,151372.8,756864,605491.2,24,24,,ST,1,0,0,9007000010070477A
UNIDAD MODELO # 2,563,UNIDAD MODELO No. 2,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.360917,-99.126417,,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,44,,1,0,1,9007000010070478A
UNIDAD MODELO # 3,564,UNIDAD MODELO No. 3,RELOCALIZACI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.338167,-99.07975,2258,P?ÜBLICO URBANO,117734.4,588672,470937.6,28,28,33,CT,1,1,1,9007000010070479A
VIGA # 1,566,VIGA No. 1,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.358361,-99.121889,2269,P?ÜBLICO URBANO,252288,1261440,1009152,40,40,45,ST,1,0,0,9007000010070480A
VIGA # 2,567,VIGA No. 2,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.365083,-99.022528,2247,P?ÜBLICO URBANO,88128,440640,352512,20,20,24,CT,1,0,1,9007000010070481A
VIGA # 3,568,VIGA No. 3,REPOSICI?ôN,IZTAPALAPA,EN OPERACI?ôN,19.374056,-99.122472,2257,P?ÜBLICO URBANO,201830.4,1009152,807321.6,32,32,37,ST,1,0,0,9007000010070482A
